item,equip,grade,drop,origin_date,origin,grade_rarity,grade_count,drop_rarity
Magus Apex,Invoker,Immortal,Regular,2015-07-10,Immortal Treasure III 2015,0.065069734,7340483,0.99935
Atomic Ray Thrusters,Gyrocopter,Immortal,Regular,2015-07-10,Immortal Treasure III 2015,0.065069734,7340483,0.99935
Bonkers the Mad,Witch Doctor,Immortal,Regular,2015-07-10,Immortal Treasure III 2015,0.065069734,7340483,0.99935
Sufferwood Sapling,Nature's Prophet,Immortal,Regular,2015-07-10,Immortal Treasure III 2015,0.065069734,7340483,0.99935
Colossal Crystal Chorus,Meepo,Immortal,Regular,2015-07-10,Immortal Treasure III 2015,0.065069734,7340483,0.99935
Focal Resonance,Templar Assassin,Immortal,Regular,2015-07-10,Immortal Treasure III 2015,0.065069734,7340483,0.99935
Piston Impaler,Bristleback,Immortal,Regular,2015-07-10,Immortal Treasure III 2015,0.065069734,7340483,0.99935
Righteous Thunderbolt,Zeus,Immortal,Very Rare,2015-07-10,Immortal Treasure III 2015,0.065069734,7340483,0.0001
Golden Atomic Ray Thrusters,Gyrocopter,Immortal,Extremely Rare,2015-07-10,Immortal Treasure III 2015,0.065069734,7340483,5e-05
Kindred of the Umizar Crawler,Slark,Mythical,Regular,2016-10-05,Fall 2016 Treasure I,0.190059323,21440494,0.99935
Fatal Bloom,Venomancer,Mythical,Regular,2016-10-05,Fall 2016 Treasure I,0.190059323,21440494,0.99935
Unfettered Malevolence,Night Stalker,Mythical,Regular,2016-10-05,Fall 2016 Treasure I,0.190059323,21440494,0.99935
Ethereal Monarch,Puck,Mythical,Regular,2016-10-05,Fall 2016 Treasure I,0.190059323,21440494,0.99935
Sacred Light,Omniknight,Mythical,Regular,2016-10-05,Fall 2016 Treasure I,0.190059323,21440494,0.99935
Guilt of the Survivor,Anti-Mage,Mythical,Very Rare,2016-10-05,Fall 2016 Treasure I,0.190059323,21440494,0.0001
Chaos of the Infernal Maw,Warlock,Mythical,Extremely Rare,2016-10-05,Fall 2016 Treasure I,0.190059323,21440494,5e-05
Jade Reckoning,Earth Spirit,Immortal,Regular,2016-07-26,Immortal Treasure III 2016,0.065069734,7340483,0.99935
The Lightning Orchid,Storm Spirit,Immortal,Regular,2014-05-30,Immortal Strongbox,0.065069734,7340483,0.99935
The Stumpgrinder,Timbersaw,Rare,Regular,2015-05-15,Treasure of the Grimsneer's Stash,0.218244277,24620024,0.99935
Utter Eradication,Timbersaw,Rare,Regular,2015-12-10,Treasure of the Cherished Hoard,0.218244277,24620024,0.99935
Shadows of the Wuxia,Templar Assassin,Mythical,Regular,2016-02-11,Winter 2016 Treasure III,0.190059323,21440494,0.99935
Monstrous Reprisal,Riki,Rare,Regular,2014-10-30,Treasure of the Rotted Gallows,0.218244277,24620024,0.99935
Father of the Forest,Nature's Prophet,Rare,Regular,2014-08-14,Treasure of the Mender's Palm,0.218244277,24620024,0.99935
Dragonclaw Hook,Pudge,Immortal,Rare,2012-07-12,Trust of the Benefactor 2016,0.065069734,7340483,0.0005
The Ram's Head Armaments,Axe,Rare,Regular,2015-02-19,Treasure of the Ram's Renewal,0.218244277,24620024,0.99935
Crucible of Light,Keeper of the Light,Rare,Regular,2015-02-19,Treasure of the Ram's Renewal,0.218244277,24620024,0.99935
Blessing of the Crested Umbra,Vengeful Spirit,Rare,Regular,2015-02-19,Treasure of the Ram's Renewal,0.218244277,24620024,0.99935
Sovereign of the Hive,Nyx Assassin,Rare,Regular,2015-02-19,Treasure of the Ram's Renewal,0.218244277,24620024,0.99935
Rider's Eclipse,Luna,Rare,Regular,2015-02-19,Treasure of the Ram's Renewal,0.218244277,24620024,0.99935
Regalia of the Parasol's Sting,Queen of Pain,Rare,Regular,2015-02-19,Treasure of the Ram's Renewal,0.218244277,24620024,0.99935
Armature of the Belligerent Ram,Sven,Mythical,Rare,2015-02-19,Treasure of the Ram's Renewal,0.190059323,21440494,0.0005
Drowned Horseman,Abbadon,Rare,Regular,2015-01-23,Treasure of the Hallowed Lands,0.218244277,24620024,0.99935
Favors of the Shamanic Light,Shadow Shaman,Rare,Regular,2015-01-23,Treasure of the Hallowed Lands,0.218244277,24620024,0.99935
Rite of the Acolyte Priest,Dazzle,Rare,Regular,2015-01-23,Treasure of the Hallowed Lands,0.218244277,24620024,0.99935
Spectral Conservator,Spectre,Mythical,Regular,2015-01-23,Treasure of the Hallowed Lands,0.190059323,21440494,0.99935
The Arch Temptress,Queen of Pain,Mythical,Very Rare,2015-01-23,Treasure of the Hallowed Lands,0.190059323,21440494,0.0001
Mania's Mask,Drow Ranger,Immortal,Regular,2014-07-16,Lockless Luckvase,0.065069734,7340483,0.99935
Inverse Bayonet,Kunkka,Immortal,Regular,2014-07-16,Lockless Luckvase,0.065069734,7340483,0.99935
White Sentry,Crystal Maiden,Immortal,Regular,2014-07-16,Lockless Luckvase,0.065069734,7340483,0.99935
Elixir of Dragon's Breath,Brewmaster,Immortal,Regular,2014-07-16,Lockless Luckvase,0.065069734,7340483,0.99935
Crystal Dryad,Tiny,Immortal,Regular,2014-07-16,Lockless Luckvase,0.065069734,7340483,0.99935
Blade of Tears,Morphling,Immortal,Regular,2014-07-16,Lockless Luckvase,0.065069734,7340483,0.99935
Flourishing Lodestar,Enchantress,Immortal,Regular,2014-07-16,Lockless Luckvase,0.065069734,7340483,0.99935
Swift Claw,Ursa,Immortal,Regular,2014-07-16,Lockless Luckvase,0.065069734,7340483,0.99935
Soul Diffuser,Spectre,Immortal,Regular,2014-07-16,Lockless Luckvase,0.065069734,7340483,0.99935
Splattering Forcipule,Venomancer,Immortal,Regular,2014-07-16,Lockless Luckvase,0.065069734,7340483,0.99935
Geodesic Eidolon,Enigma,Immortal,Very Rare,2014-07-16,Lockless Luckvase,0.065069734,7340483,0.0001
Crescent,Mirana,Mythical,Regular,2014-06-06,Treasure of the Trapper's Pelt,0.190059323,21440494,0.99935
Rightful Heir,Riki,Rare,Regular,2014-06-06,Treasure of the Trapper's Pelt,0.218244277,24620024,0.99935
Tribal Terror,Bloodseeker,Rare,Regular,2014-06-06,Treasure of the Trapper's Pelt,0.218244277,24620024,0.99935
Vestments of the Infinite Waves,Phantom Lancer,Rare,Regular,2014-06-06,Treasure of the Trapper's Pelt,0.218244277,24620024,0.99935
The Iron Claw,Lone Druid,Mythical,Rare,2014-06-06,Treasure of the Trapper's Pelt,0.190059323,21440494,0.0005
Deepweed Drowner,Tidehunter,Rare,Regular,2014-05-08,Treasure of Molten Steel,0.218244277,24620024,0.99935
Transmuted Armaments,Lifestealer,Rare,Regular,2014-05-08,Treasure of Molten Steel,0.218244277,24620024,0.99935
Rising Chaos,Chaos Knight,Rare,Regular,2014-05-08,Treasure of Molten Steel,0.218244277,24620024,0.99935
Eternal Fire,Doom,Rare,Regular,2014-05-08,Treasure of Molten Steel,0.218244277,24620024,0.99935
Vanquishing Demons General,Earth Spirit,Mythical,Rare,2014-05-08,Treasure of Molten Steel,0.190059323,21440494,0.0005
